Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
  14 THHN CU SOLID,"$1,109.12",M,1.1091, ,$576.74,M,1000,0.003,98 0100 22300
  12 THHN CU SOLID,"$1,701.66",M,1.70166, ,$884.86,M,1000,0.004,98 0100 22400
  10 THHN CU SOLID,"$2,662.40",M,2.6624, ,"$1,384.45",M,1000,0.005,98 0100 22500
cu thhn stranded,$0.00, ,, ,$0.00, ,0,,
  14 THHN CU STRANDED 2,"$1,233.74",M,1.23374, ,$641.54,M,1000,0.003,98 0100 22800
  12 THHN CU STRANDED 3,"$1,823.08",M,1.82308, ,$948.00,M,1000,0.004,98 0100 22900
  10 THHN CU STRANDED 4,"$2,788.28",M,2.78828, ,"$1,449.91",M,1000,0.005,98 0100 23000
   8 THHN CU STRANDED 5,"$5,175.46",M,5.17546, ,"$2,691.24",M,1000,0.006,98 0100 23100
   6 THHN CU STRANDED 7,"$8,847.38",M,8.84738, ,"$4,600.64",M,1000,0.007,98 0100 23150
   4 THHN CU STRANDED 9,"$13,539.09",M,13.53909, ,"$7,040.33",M,1000,0.008,98 0100 23200
   3 THHN CU STRANDED 1,"$17,076.96",M,17.07696, ,"$8,880.02",M,1000,0.009,98 0100 23250
   2 THHN CU STRANDED 1,"$21,375.04",M,21.37504, ,"$11,115.02",M,1000,0.01,98 0100 23300
   1 THHN CU STRANDED 1,"$23,818.29",M,23.81829, ,"$12,385.51",M,1000,0.011,98 0100 23350
 1/0 THHN CU STRANDED 1,"$29,161.42",M,29.16142, ,"$15,163.94",M,1000,0.014,98 0100 23400
 2/0 THHN CU STRANDED 1,"$35,921.40",M,35.9214, ,"$18,679.13",M,1000,0.016,98 0100 23405
 3/0 THHN CU STRANDED 2,"$45,334.13",M,45.33413, ,"$23,573.75",M,1000,0.02,98 0100 23410
 4/0 THHN CU STRANDED 2,"$56,589.09",M,56.58909, ,"$29,426.33",M,1000,0.022,98 0100 23415
 250 THHN CU STRANDED 2,"$65,572.60",M,65.5726, ,"$34,097.75",M,1000,0.024,98 0100 23420
 300 THHN CU STRANDED 3,"$78,637.89",M,78.63789, ,"$40,891.70",M,1000,0.026,98 0100 23425
 350 THHN CU STRANDED 3,"$92,077.20",M,92.0772, ,"$47,880.14",M,1000,0.032,98 0100 23430
 400 THHN CU STRANDED 3,"$104,742.71",M,104.74271, ,"$54,466.21",M,1000,0.036,98 0100 23435
 500 THHN CU STRANDED 4,"$132,350.29",M,132.35029, ,"$68,822.15",M,1000,0.038,98 0100 23440
 600 THHN CU STRANDED 4,"$164,921.07",M,164.92107, ,"$85,758.96",M,1000,0.042,98 0100 23445
