Category,Name,Description,Part Number,Price,Cost,Unit of Measure
Wire,COP TC63WG500,6/3 WG TRAY CABLE-500',TC63WG500,4661.88,4661.88,THOUSAND
Wire,COP TFFN16STBK2500,TFFN 16 STR BLACK 2500',TFFN16STBK2500,126.74,126.74,THOUSAND
Wire,COP THHN6WH1000,THHN 6 STR WHITE 1000',THHN6WH1000,941.36,941.36,THOUSAND
Wire,COP THHN8WH2500,THHN 8 STR WHITE 2500',THHN8WH2500,611.84,611.84,THOUSAND
Wire,COP THHN500GY2500,THHN 500 STR GRAY 2500',THHN500GY2500,14484.45,14484.45,THOUSAND
N/A,COP XHHW3BK2500,CU XHHW #3 BLACK 2500',XHHW3BK2500,2202.52,2202.52,THOUSAND
Wire,COP BARE2S0L125,BARE CU #2 SOL 125,BARE2S0L125,2192.80,2192.80,THOUSAND
Wire,COP BARE4S0L200,BARE CU #4 SOL 200,BARE4S0L200,1356.91,1356.91,THOUSAND
Wire,COP BARE6S0L1000,BARE CU #6 SOL 1000,BARE6S0L1000,829.46,829.46,THOUSAND
Wire,COP BARE8S0L500,BARE CU #8 SOL 500,BARE8S0L500,520.18,520.18,THOUSAND
Wire,COP RX102WG1000,10/2 WG ROMEX-1000',RX102WG1000,993.68,993.68,THOUSAND
Wire,COP RX102WGPCS,10/2 WG ROMEX-PIECES,RX102WGPCS,993.68,993.68,THOUSAND
Wire,COP RX103WG1000,10/3 WG ROMEX-1000',RX103WG1000,1234.67,1234.67,THOUSAND
Wire,COP RX103WG250,10/3 WG ROMEX-250',RX103WG250,1223.91,1223.91,THOUSAND
Wire,COP RX103WGPCS,10/3 WG ROMEX-PIECES,RX103WGPCS,1234.67,1234.67,THOUSAND
Wire,COP RX122WG1000,12/2 WG ROMEX-1000',RX122WG1000,525.80,525.80,THOUSAND
Wire,COP RX123WGPCS,12/3 WG ROMEX-PIECES,RX123WGPCS,783.61,783.61,THOUSAND
N/A,COP RX143W0G250,14/3 WOG ROMEX-250',RX143W0G250,506.45,506.45,THOUSAND
Wire,COP RX143WG250,14/3 WG ROMEX-250',RX143WG250,506.45,506.45,THOUSAND
Wire,COP RX143WGPCS,14/3 WG ROMEX-PIECES,RX143WGPCS,517.20,517.20,THOUSAND
Wire,COP RX23WG1000,2/3 WG ROMEX-1000',RX23WG1000,12885.62,12885.62,THOUSAND
Wire,COP RX23WG500,2/3 WG ROMEX-500',RX23WG500,12885.62,12885.62,THOUSAND
Wire,COP RX43WG125,4/3 WG ROMEX-125',RX43WG125,8595.53,8595.53,THOUSAND
Wire,COP RX43WGPCS,4/3 WG ROMEX-PIECES,RX43WGPCS,8595.53,8595.53,THOUSAND
Wire,COP RX62WG1000,6/2 WG ROMEX-1000',RX62WG1000,2366.17,2366.17,THOUSAND
Wire,COP RX62WG2500,6/2 WG ROMEX-2500',RX62WG2500,2366.17,2366.17,THOUSAND
Wire,COP RX63PCS,6/3 WOG ROMEX-PIECES,RX63PCS,3446.92,3446.92,THOUSAND
Wire,COP RX63WG2500,6/3 WG ROMEX-2500',RX63WG2500,3446.92,3446.92,THOUSAND
Wire,COP RX63WG500,6/3 WG ROMEX-500',RX63WG500,3446.92,3446.92,THOUSAND
Wire,COP RX63WGPCS,6/3 WG ROMEX-PIECES,RX63WGPCS,3446.92,3446.92,THOUSAND
Wire,COP RX82WG2500,8/2 WG ROMEX-2500',RX82WG2500,1675.38,1675.38,THOUSAND
Wire,COP RX83PCS,8/3 WOG ROMEX-PIECES,RX83PCS,2358.61,2358.61,THOUSAND
Wire,COP RX83WG1000,8/3 WG ROMEX-1000',RX83WG1000,2358.61,2358.61,THOUSAND
Wire,COP SER241000,CU 2-2-2-4 SER CABLE-1000',SER241000,9681.91,9681.91,THOUSAND
Wire,COP SER24500,CU 2-2-2-4 SER CABLE-500',SER24500,9681.91,9681.91,THOUSAND
Wire,COP SER30WGPCS,CU 3/0-3/0-3/0-1/0 WG SER CABLE-PIECES,SER30WGPCS,24226.15,24226.15,THOUSAND
Wire,COP SER34500,CU 3-3-3-5 SER CABLE-500',SER34500,8308.10,8308.10,THOUSAND
Wire,COP SER4446PCS,CU 4-4-4-6 SER CABLE-PIECES,SER4446PCS,6181.11,6181.11,THOUSAND
Wire,COP SEU203500,CU 2/0-2/0-2/0 SEU CABLE-500',SEU203500,15621.75,15621.75,THOUSAND
Wire,COP SEU23PCS,CU 2-2-2 SEU CABLE-PIECES,SEU23PCS,6759.78,6759.78,THOUSAND
Wire,COP SEU431000,CU 4-4-4 SEU CABLE-1000',SEU431000,4342.55,4342.55,THOUSAND
Wire,COP SEU43PCS,CU 4-4-4 SEU CABLE-PIECES,SEU43PCS,4342.55,4342.55,THOUSAND
N/A,COP SRML12BK,#12 HIGH TEMP WIRE,SRML12BK,685.71,685.71,THOUSAND
Wire,COP TC103WG1000,10/3 WG TRAY CABLE-1000',TC103WG1000,1986.00,1986.00,THOUSAND
Wire,COP TC103WG500,10/3 WG TRAY CABLE-500',TC103WG500,1986.00,1986.00,THOUSAND
Wire,COP TC1041000,10/4 TRAY CABLE-1000',TC1041000,1961.38,1961.38,THOUSAND
Wire,COP TC104PCS,10/4 TRAY CABLE-PIECES,TC104PCS,1961.38,1961.38,THOUSAND
Wire,COP TC123PCS,12/3 TRAY CABLE-PIECES,TC123PCS,1187.03,1187.03,THOUSAND
Wire,COP TC123W0G500,12/3 WOG TRAY CABLE-500,TC123W0G500,1187.03,1187.03,THOUSAND
Wire,COP TC1241000,12/4 TRAY CABLE-1000',TC1241000,1515.62,1515.62,THOUSAND
Wire,COP TC1431000,14/3 TRAY CABLE-1000',TC1431000,1252.47,1252.47,THOUSAND
Wire,COP TC1441000,14/4 TRAY CABLE-1000',TC1441000,1173.46,1173.46,THOUSAND
N/A,COP TC203WG,2/0-3 WG TRAY CABLE,TC203WG,16603.07,16603.07,THOUSAND
Wire,COP TC203WG500,2/0-3WG TRAY CABLE 500,TC203WG500,16603.07,16603.07,THOUSAND
Wire,COP TC23WG500,2/3 WG TRAY CABLE-500',TC23WG500,9034.74,9034.74,THOUSAND
Wire,COP TC23WGPCS,2/3 WG TRAY CABLE-PIECES,TC23WGPCS,9034.74,9034.74,THOUSAND
Wire,COP TC43WG1000,4/3 WG TRAY CABLE-1000',TC43WG1000,6167.13,6167.13,THOUSAND
