assmNum,assmName,isHead,level1,level2,level3,section,subsection,material,laborHours
1,Electrical Database,1,,,,,Electrical Database,0,0
3,copper wire,1,,,,,copper wire,0,0
4,cu thhn solid wire,1,Wire,Copper,Solid,cu thhn solid wire,,0,0
5,14 THHN CU SOLID,0,Wire,Copper,Solid,cu thhn solid wire,,0.58,0.003
6,12 THHN CU SOLID,0,Wire,Copper,Solid,cu thhn solid wire,,2.65,0.012
7,10 THHN CU SOLID,0,Wire,Copper,Solid,cu thhn solid wire,,1.38,0.005
9,cu thhn stranded wire,1,Wire,Copper,Stranded,cu thhn stranded wire,,0,0
10,14 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,0.64,0.003
11,12 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,4.74,0.02
12,10 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,1.45,0.005
13,8 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,2.69,0.006
14,6 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,4.6,0.007
15,4 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,7.04,0.008
16,3 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,8.88,0.009
17,2 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,11.12,0.01
18,1 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,12.39,0.011
19,1/0 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,15.16,0.014
20,2/0 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,18.68,0.016
21,3/0 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,6.8,0.02
22,4/0 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,29.43,0.022
23,250 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,34.1,0.024
24,300 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,40.89,0.026
25,350 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,47.88,0.032
26,400 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,54.47,0.036
27,500 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,68.82,0.038
28,600 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,85.76,0.042
29,750 THHN CU STRANDED,0,Wire,Copper,Stranded,cu thhn stranded wire,,144.97,0.048
