Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"30,001",, single support miscellaneo,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,002",,SGL SUPPORT-MISC. (RUS VA 1,,,,$0.00, ,,1.260,, ,$42.34,,,E,,$47.63,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,2.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,821","PIN INSUL 1 3/8"" 25/14.",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,833","PIN, POLE TOP 20"" STL 1",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,003",,SGL SUPPORT-MISC. (RUS VA 1,,,,$0.00, ,,1.020,, ,$34.27,,,E,,$38.56,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,2.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,004",,SGL SUPPORT-MISC. (RUS VA 1,,,,$0.00, ,,0.520,, ,$17.47,,,E,,$19.66,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,821","PIN INSUL 1 3/8"" 25/14.",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,925","5/8 x 6 1/2""  STL CR-AR",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"30,005",,SGL SUPPORT-MISC. (RUS VA 1,,,,$0.00, ,,0.200,, ,$6.72,,,E,,$7.56,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,
"30,006",,SGL SUPPORT-MISC. (RUS VA 1,,,,$0.00, ,,0.570,, ,$19.15,,,E,,$21.55,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,943","5/8"" STL  CR-ARM PIN CL",,,,1.00,,,0.00,,$0.00,,,E,0.25,,E,,,,
"30,009",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,010",,single support tangent,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,011",,SGL SUPPORT-TAN (RUS VA 1.1,,,,$0.00, ,,1.760,, ,$59.14,,,E,,$66.53,,E,
