assmNum,assmName
1,Electrical Database
3,copper wire
127,3 AL THHN STRANDED WIRE 85
315,11' drop emt d/s strap
328,emt 1/2 d/s misc
345,emt 3/4 d/s misc
362,emt 1 d/s misc
380,emt 1 1/4 d/s misc
401,emt 1 1/2 d/s misc
422,emt 2 d/s misc
442,emt 2 1/2 d/s misc
459,emt 3 d/s misc
476,emt 3 1/2 d/s misc
492,emt 4 d/s misc
555,d/s emt feeder w/wire
687,d/s feeder w/wire
774,feeder drops w/wire & 9' ma
905,d/s emt feeder beam clamp w
1170,s/s emt feeder beam clamp w
1302,s/c emt feeder beam clamp w
1520,n8 emt d/s/i strap
1527,n6 emt d/s/i strap
1534,n4 emt d/s/i strap
1541,n2 emt d/s/i strap
1594,emt 1/2 d/c branch parts
1611,emt 3/4 d/c misc
1629,emt 1 d/c misc
1645,emt d/c feeder parts
1646,emt 1 1/4 d/c misc
1667,emt 1 1/2 d/c misc
1689,emt 2 d/c misc
1709,emt 2 1/2 d/c misc
1726,emt 3 d/c misc
1743,emt 3 1/2 d/c misc
1759,emt 4 d/c misc
1822,d/c feeder w/wire
1956,d/c feeder w/wire
2043,feeder drops w/wire & 9' ma
2162,n8 emt d/c/i strap
2169,n6 emt d/c/i strap
2176,n4 emt d/c/i strap
2183,n2 emt d/c/i strap
2232,emt s/s branch parts
2233,emt 1/2 s/s branch parts
2250,emt 3/4 s/s misc
2267,emt 1 s/s misc
2283,emt s/s feeder parts
2284,emt 1 1/4 s/s misc
2305,emt 1 1/2 s/s misc
2326,emt 2 s/s misc
2346,emt 2 1/2 s/s misc
2363,emt 3 s/s misc
2380,emt 3 1/2 s/s misc
2396,emt 4 s/s misc
2459,s/s feeder w/wire
2592,s/s feeder w/wire
2679,feeder drops w/wire & 9' ma
2791,n8 emt s/s/i strap
2798,n6 emt s/s/i strap
2805,n4 emt s/s/i strap
2812,n2 emt s/s/i strap
2857,emt s/c branch parts
2858,emt 1/2 s/c misc
2875,emt 3/4 s/c misc
2892,emt 1 s/c misc
2908,emt s/c feeder parts
2909,emt 1 1/4 s/c misc
2930,emt 1 1/2 s/c misc
2951,emt 2 s/c misc
2972,emt 2 1/2 s/c misc
2989,emt 3 s/c misc
3006,emt 3 1/2 s/c misc
3022,emt 4 s/c misc
3086,s/c feeder w/wire
3219,s/c feeder w/wire
3306,feeder drops w/wire & 9' ma
3418,n8 emt s/c/i strap
3425,n6 emt s/c/i strap
3432,n4 emt s/c/i strap
3439,n2 emt s/c/i strap
3512,d/s feeder rack w/wire
3626,n8 emt d/s/i racks
3633,n6 emt d/s/i racks
3640,n4 emt d/s/i rack
3647,n2 emt d/s/i rack
3713,d/c feeder rack w/wire
3827,n8 emt d/c/i racks
3834,n6 emt d/c/i racks
3841,n4 emt d/c/i racks
3848,n2 emt d/c/i racks
3914,s/s emt feeder rack w/wire
4028,n8 emt s/s/i racks
4035,n6 emt s/s/i racks
4042,n4 emt s/s/i racks
4049,n2 emt s/s/i racks
4115,s/c emt feeder rack w/wire
4229,n8 emt s/c/i racks
4236,n6 emt s/c/i racks
4243,n4 emt s/c/i racks
4250,n2 emt s/c/i racks
4549,wp flex exposed
4550,sealtite flex
4616,grc branch
4696,grc feeder
5032,branch grc strap
5096,feeder grc strap
5182,branch grc strap concrete
5247,grc feeder strap concrete
5334,grc branch rack w/wire
5399,grc feeder rack w/wire
5487,grc branch underground w/wi
5552,grc feeder underground w/wi
5704,grc feeder beam clamp w/wir
5792,imc branch
5848,imc feeder
6158,imc branch concrete w/wire
6223,imc feeder concrete w/wire
6309,imc branch rack w/wire
6374,imc feeder rack w/wire
6460,imc feeder underground w/wi
6547,imc branch beam clamp w/wir
6612,imc feeder beam clamp w/wir
6698,branch aluminum
6762,al feeder
7073,al feeder strap w/wire
7160,al feeder strap concrete w/
7310,al feeder rack w/wire
7359,n300 al rack
7396,al feeder beam clamp w/wire
7482,grc/pvc branch
7533,grc/pvc feeder
7667,grc/pvc branch no strap
7713,grc/pvc feeder no strap w/w
7762,n300 grc/pvc  no strap
7799,grc/pvc branch strap
7864,grc/pvc feeder strap  w/wir
7952,grc/pvc branch strap concre
8017,grc/pvc feeder strap concre
8167,grc/pvc feeder rack w/wire
8253,grc/pvc feeder underground
8339,grc/pvc branch 90d bc w/wir
8404,grc/pvc feeder rack w/wire
8490,branch pvc 40
8714,pvc 40 no strap
8824,pvc feeder strap
8910,pvc-40 branch strap concret
8975,pvc feeder strap conc.
9062,pvc-40 branch underground
9127,pvc feeder underground
9140,n1 pvc undergroud
9213,pvc 40 branch beam clamp
9278,pvc 40 feeder beam clamp
9406,pvc 80 feeder
9463,conduit chair
9464,duct spacer
9615,kindorf strut rack
9616,rack kindorf
9658,ss strut rack
9659,rack ss
9826,racks kindorf 3/8 rod beam
9863,racks kindorf 1/2 rod beam
9899,racks kindorf 3/8 rod hang
10046,racks unistrut 3/8 rod bea
10083,racks unistrut 1/2 rod bea
10119,racks unistrut 3/8 rod han
10390,grc/imc strap hanger
10402,grc/imc concrete strap hang
10416,grc/imc (rack) chnl strap
10451,nmc cable with term const
10471,nmc cable home run w/term c
10505,mc cable with term
10528,bx cable with Term const
10542,mc cable with term const
10584,mc termination
10592,term
10607,cntrl term
10866,cable splice
10901,x ray box dis by others
10959,aluminum cable tray
12029,cablofil cable tray
12214,snake tray cable tray
12353,cellular flr ftg
12354,flr o/l ftg
12359,xfmr 1 phase
12360,transformer 1 ph
12407,xfmr 3 phase
12408,transformer 3 ph
12452,"iso transf, 3ph"
12529,masts
12530,service mast
12531,service mast grc
12558,seb 250v
12568,seb 600v
12608,meter center
12609,meter center 125a 1 phase
12616,meter center 200a 1 phase
12623,meter center 125a 3 phase
12630,meter center 200a 3 phase
12637,meter stack sockets
12638,meter stack 125a 1 phase
12647,meter stack 200a 1 phase
12654,meter stack 125a 3 phase
12662,meter stack 200a 3 phase
12668,meter can
12669,meter stack 400a
12676,meter stacks
12677,stack mcb 65krms
12692,stack mcb 100krms
12700,stack m switch 100krms
12710,stack term box
12765,load center 3 ph mlo
12766,load center qo 3 ph mlo
12776,load center 3r 1 ph mlo
12791,load center 3r 3 ph mlo
12800,load center w/mcb
12801,"mcb load center,1ph"
12819,"mcb load center, 3 phase"
12831,mcb load center 1ph 3r
12842,mcb load center 3ph 3r
13120,motor connction
13527,equip connect
13732,mc whip
13765,so cable drop
13785,branch liquid tite w/term c
13786,branch liquidtight ua w/ter
13792,feeder liquid tite w/term c
13793,feeder liquidtight ua w/ter
13801,branch flex alum w/term con
13808,feeder flex alum w/term con
13818,switch safety
13819,safety switch
13820,general duty switch
13821,safety switch 250a
13964,nema 4x disc sw
14011,nema 12 disc sw
14058,safety switch 600v
14059,disconnect switch 600v
14266,air conditioning disconnect
14305,auto xfer switch
14306,auto-transfer switch
14334,"man starter,nema 1"
14344,"man starter,nema 4"
14355,"man starter,nema 12"
14405,starters
14522,reversing starters
14523,rev starter
14543,comb starter reversing
14601,redv starter
14621,comb starter red volt
14661,"comb starter redv,n4"
14681,starter 2 speed
14682,starter 2p spd
14702,comb starter 2 spd
14741,"comb starter 2spd,n4"
14763,contactors
14920,light
14921,fixtures
14922,led lay-in fixtures
15063,light flanged led
15201,led recessed can fixture
15205,led recessed can wall washe
15217,led wall mounted fixture
15221,led rec can hi-intensity sp
15224,motion sensor
15232,led exit fixture
15284,led reflector flood fixture
15297,led track fixtures
15345,led light
15349,vapor tight led fixturs
15350,vt led fixtures
15379,exp proof class I led fixtu
15432,led outdoor reflector fixtu
15437,led flood light fixture
15442,stadium fixture - led
15448,led uplight light fixture
15461,pool fixtures
15468,light wet niche
15475,led recessed fountain fixtu
15488,site lighting
15493,walkway lighting
15548,commercial white occupancy
15553,ceiling occupancy sensors
15561,residential white occupancy
15565,switch standard
15604,switch 15a com
15623,switch 20a com
15645,switch commercial masonry
15818,switch surface
15830,switch 15a com surface
15840,switch 20a com surface
15851,switch 15 amp spec surf
15861,comb sw/recpt surf
15868,mtr sw
15877,momentary cont sw
15878,mom cont sw
15883,dimmer eaton al Series
15889,dimmer eaton aspire series
15902,dimmer eaton commercial
15944,afci & gfci 15a recept
15948,afci & gfci 20a recept
15960,recp standard
15976,recp standard masonry
16069,recpt clock
16126,4 port 0.4a usb charger mas
16130,recpt clock masonry
16133,recpt sgl
16148,recpt spec
16170,clock outlet
16217,clock outlet
16221,recp wiremold
16237,recpt duplex
16259,clock outlet
16263,recpt cell
16264,rcpt cell-tap sgl
16280,duplex recpt
16301,recp floor box
16302,rcpt flr box sgl
16318,duplex recpt flr box
16339,panel mounted recpt
16340,panel recpt
16345,ind recpt
16373,straight blade power recept
16416,twist-lock receptacles
16453,exp device
16455,expl sgl recpt
16511,j box controls door
16626,tile boxes
16673,box ceiling
16674,light box surface
16729,wp alum box
16788,guy kit
16863,computer emt stub-ups
16868,computer pvc stub-ups
16883,thermostat
16888,unit heater
16901,bath heater
16907,wall htr
16918,rad ht panel
16923,sill heater
16931,toe space heater
16938,duct heater
16960,duct thermostat
16963,humidistat
16968,electronic air filter
16969,elec air filter
16975,sequence controller
16979,temp controller
16980,chromalox 3800 control
16989,heat mat
16997,heat trace
17005,honeywell temp control
17006,thermostat
17007,t-stat
17008,low volt thermostat
17013,economy thermostat
17016,chrono thermostat
17019,line volt stat
17029,thermostat guard
17033,heating relay
17039,vav (variable air volume) s
17046,vav hot  water systems
17051,vav electric heat systems
17071,3ph 250v rooftop heat pump
17093,3ph 250v rooftop heat pump
17104,1ph 600v rooftop heat pump
17115,3ph 600v rooftop heat pump
17126,1ph 600v rooftop heat pump
17137,3ph 600v rooftop heat pump
17154,fans
17177,ventilator
17257,concr bedding
17362,house wiring
17363,residential
17376,house switch
17394,combo house switches
17431,led bath fixture
17452,house w/nm-b
17453,house wiring w/nm-b
17454,residential w/nm-b
17455,house recept w/nm-b
17474,15a tamper recept & usb w/n
17480,20a tamper recept & usb w/n
17486,30a/50a house recept w/nm-b
17492,wp gfi house recept w/nm-b
17498,gfi house recept w/nm-b
17593,t-bill list
17603,Begin Constants
17604,emt d/s const
17746,d/s emt feeder w/wire const
17973,d/s feeder w/wire const
18201,d/s feeder rack w/wire cons
18429,d/s emt feeder bc w/wire co
18516,emt d/c  const
18656,d/c feeder w/wire const
18884,d/c feeder w/wire const
19113,d/c feeder rack w/wire cons
19340,d/c emt feeder bc w/wire co
19429,emt s/s const
19572,s/s feeder w/wire const
19799,s/s feeder w/wire const
20028,s/s emt feeder rack w/wire
20257,s/s emt feeder bc w/wire co
20346,emt s/c const
20489,s/c feeder w/wire const
20716,s/c feeder w/wire const
20944,s/c emt feeder rack w/wire
21172,s/c emt feeder bc w/wire co
21197,n2/0 emt s/c  beam clamp co
21261,branch pvc 40 const
21315,feeder pvc 40 const
21636,pvc feeder strap const
21852,pvc feeder strap conc const
21942,pvc-40 branch underground c
21988,n14 3/4 pvc-40 underground
21997,n12 3/4 pvc-40 underground
22008,pvc-40 branch hr undergroun
22074,pvc feeder underground cons
22164,pvc 40 hr branch beam clamp
22230,pvc 40 branch hr beam clamp
22295,pvc 40 feeder beam clamp co
22386,imc branch const
22453,imc feeder const
22656,imc branch concrete w/wire
22722,imc hr branch conc w/wire c
22787,imc feeder concrete w/wire
22876,imc branch rack w/wire cons
22942,imc hr branch rack w/wire c
23007,imc feeder rack w/wire cons
23096,imc branch underground w/wi
23162,imc branch hr ug w/wire con
23227,imc feeder underground w/wi
23316,imc branch bc w/wire const
23382,imc hr branch bc w/wire con
23446,imc feeder beam clamp w/wir
23534,grc branch const
23602,grc feeder const
23896,branch grc strap const
23962,branch grc hr strap const
24029,feeder grc strap const
24102,n600 grc  strap const
24118,branch grc strap concrete c
24184,branch grc hr strap concret
24249,grc feeder strap concrete c
24337,grc branch rack w/wire cons
24403,grc branch hr rack w/wire c
24557,grc branch underground cons
24623,grc branch hr underground c
24688,grc feeder underground cons
24777,grc branch beam clamp w/wir
24843,grc branch hr bc w/wire con
24909,grc feeder beam clamp w/wir
24996,branch aluminum const
25260,n14 al  no strap const
25269,n12 al no strap const
25278,n10 al d/c no strap const
25287,n8 al no strap const
25294,n6 alum no strap const
25301,n4 al no strap const
25308,n2 al no strap const
25444,alum feeder strap w/wire co
25531,n14 aluminum branch concret
25596,n14 aluminum branch concret
25662,al feeder concrete w/wire c
25876,al feeder rack w/wire const
25962,al feeder bc w/wire const
26051,grc/pvc branch const
26263,grc/pvc branch no strap con
26328,grc/pvc branch hr no strap
26393,grc/pvc feeder no strap con
26479,grc/pvc branch strap const
26544,grc/pvc branch hr strap con
26609,grc/pvc feeder strap const
26697,grc/pvc branch conc w/wire
26762,grc/pvc branch hr conc w/wi
26817,n12 3/4grc/pvc hr strap co
26827,grc/pvc feeder strap conc c
27041,grc/pvc feeder rack const
27127,grc/pvc feeder ug w/wire co
27152,n2/0 grc/pvc underground co
27200,n600 grc/pvc underground co
27211,4#600 1-#3/0 4 pvc
27213,grc/pvc branch 90d bc w/wir
27278,grc/pvc branch hr 90d bc w/
27343,grc/pvc feeder rack const
27428,end of electrical assemby d
27431,Automated  Building Systems
27434,special systems database
27436,generic fire equip
27504,fire alarm edwards
27570,duct smoke chase 0550
27640,hospital equipment
27642,hospital headwalls
27650,medical service column
27653,patient console
27656,neonatal console
27659,medical clocks
27660,medical timers
27661,surgical timers
27670,medical lights
27671,light surgical
27678,or panel
27683,icu panel
27688,ground bus modules
27695,x ray
27708,nurse call - field devices
27724,nurse call code blue system
27941,catv
27962,security systems peripheral
27968,security systems detection
27982,security systems signaling
27988,security cables
28014,access control field device
28029,access control - misc items
28079,parking
28100,leak detection
28112,uc wire
28121,begin voice/data database
28123,generic voice/data assembli
28124,generic voice/telephone ass
28125,voice/telephone
28143,white ca6 voice outlets25'
28148,white cat6 voice outlets 50
28153,white cat6 voice outlets 10
28158,white cat6 voice outlets 15
