Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
  14 THHN CU SOLID,1.1091,0.003
  12 THHN CU SOLID,1.70166,0.004
  10 THHN CU SOLID,2.6624,0.005
cu thhn stranded,,
  14 THHN CU STRANDED 2,1.23374,0.003
  12 THHN CU STRANDED 3,1.82308,0.004
  10 THHN CU STRANDED 4,2.78828,0.005
   8 THHN CU STRANDED 5,5.17546,0.006
   6 THHN CU STRANDED 7,8.84738,0.007
   4 THHN CU STRANDED 9,13.53909,0.008
   3 THHN CU STRANDED 1,17.07696,0.009
   2 THHN CU STRANDED 1,21.37504,0.01
   1 THHN CU STRANDED 1,23.81829,0.011
 1/0 THHN CU STRANDED 1,29.16142,0.014
 2/0 THHN CU STRANDED 1,35.9214,0.016
 3/0 THHN CU STRANDED 2,45.33413,0.02
 4/0 THHN CU STRANDED 2,56.58909,0.022
 250 THHN CU STRANDED 2,65.5726,0.024
 300 THHN CU STRANDED 3,78.63789,0.026
 350 THHN CU STRANDED 3,92.0772,0.032
 400 THHN CU STRANDED 3,104.74271,0.036
 500 THHN CU STRANDED 4,132.35029,0.038
 600 THHN CU STRANDED 4,164.92107,0.042
 750 THHN CU STRANDED 5,278.78,0.048
1000 THHN CU STRANDED 6,369.95316,0.054
cu xhhw solid 75deg,,
  14 XHHW CU SOLID 20A,1.78568,0.003
  12 XHHW CU SOLID 25A,2.84174,0.004
  10 XHHW CU SOLID  35A,4.39298,0.005
cu xhhw stranded,,
  14 XHHW CU STRANDED 2,1.6613,0.003
  12 XHHW CU STRANDED 3,2.25528,0.004
  10 XHHW CU STRANDED 4,3.38004,0.005
   8 XHHW CU STRANDED 5,6.00146,0.006
   6 XHHW CU STRANDED 7,10.12904,0.007
   4 XHHW CU STRANDED  ,14.90516,0.008
   3 XHHW CU STRANDED 1,18.32067,0.009
   2 XHHW CU STRANDED 1,23.00193,0.01
   1 XHHW CU STRANDED 1,25.231,0.011
 1/0 XHHW CU STRANDED 1,31.01291,0.014
 2/0 XHHW CU STRANDED 1,38.7576,0.016
 3/0 XHHW CU STRANDED 2,48.52018,0.02
 4/0 XHHW CU STRANDED 2,60.85382,0.022
 250 XHHW CU STRANDED 2,70.18238,0.024
 300 XHHW CU STRANDED 3,83.43951,0.026
 350 XHHW CU STRANDED 3,97.48809,0.032
 400 XHHW CU STRANDED 3,111.16769,0.036
 500 XHHW CU STRANDED 4,138.65691,0.038
 600 XHHW CU STRANDED 4,175.09182,0.042
 750 XHHW CU STRANDED 5,285.32836,0.048
1000 XHHW CU STRANDED 6,374.54056,0.054
cu use-rhw solid 75 deg,,
  12 USE-RHW CU SOLID 2,3.07114,0.004
  10 USE-RHW CU SOLID 3,3.82528,0.005
cu use-rhw stranded,,
  14 USE-RHW CU STRANDE,3.09284,0.003
  12 USE-RHW CU STRANDE,3.28452,0.004
  10 USE-RHW CU STRANDE,4.00294,0.005
   8 USE-RHW CU STRANDE,7.15118,0.006
   6 USE-RHW CU STRANDE,11.46624,0.007
   4 USE-RHW CU STRANDE,17.47089,0.008
   3 USE-RHW CU STRANDE,23.49867,0.009
   2 USE-RHW CU STRANDE,27.14487,0.01
   1 USE-RHW CU STRANDE,29.11164,0.011
 1/0 USE-RHW CU STRANDE,37.13238,0.014
 2/0 USE-RHW CU STRANDE,46.67602,0.016
 3/0 USE-RHW CU STRANDE,58.32751,0.02
 4/0 USE-RHW CU STRANDE,72.84682,0.022
 250 USE-RHW CU STRANDE,78.26833,0.024
 300 USE-RHW CU STRANDE,89.41509,0.026
 350 USE-RHW CU STRANDE,106.23142,0.032
 400 USE-RHW CU STRANDE,120.4568,0.036
 500 USE-RHW CU STRANDE,145.95424,0.038
 600 USE-RHW CU STRANDE,181.75624,0.042
 750 USE-RHW CU STRANDE,296.26493,0.048
1000 USE-RHW CU STRANDE,392.32224,0.054
cu thw solid 75deg,,
  14 THW CU SOLID,2.7617,0.003
  12 THW CU SOLID,4.4056,0.004
  10 THW CU SOLID,7.10324,0.005
cu thw stranded,,
  14 THW CU STRANDED,3.2983,0.003
  12 THW CU STRANDED,5.23222,0.004
  10 THW CU STRANDED,8.24742,0.005
   8 THW CU STRANDED,13.91786,0.006
   6 THW CU STRANDED,23.57851,0.007
   4 THW CU STRANDED,34.2162,0.008
   3 THW CU STRANDED,42.45211,0.009
   2 THW CU STRANDED,53.41902,0.01
   1 THW CU STRANDED,70.12462,0.011
 1/0 THW CU STRANDED,87.32676,0.014
 2/0 THW CU STRANDED,109.70353,0.016
 3/0 THW CU STRANDED,137.64676,0.02
 4/0 THW CU STRANDED,175.27064,0.022
 250 THW CU STRANDED,198.13471,0.024
 300 THW CU STRANDED,223.24884,0.026
 350 THW CU STRANDED,260.7322,0.032
 400 THW CU STRANDED,297.45164,0.036
 500 THW CU STRANDED,371.00113,0.038
 600 THW CU STRANDED,469.56171,0.042
 750 THW CU STRANDED,772.10649,0.048
1000 THW CU STRANDED,1014.6898,0.054
cu bare solid,,
  14 BARE CU SOLID,0.95274,0.003
  12 BARE CU SOLID,1.47612,0.004
  10 BARE CU SOLID,2.33418,0.005
   8 BARE CU SOLID,4.17038,0.006
   6 BARE CU SOLID,7.38876,0.007
   4 BARE CU SOLID,12.08727,0.008
   3 BARE CU SOLID,,0.009
   2 BARE CU SOLID,19.04207,0.01
cu bare stranded,,
   8 BARE CU STRANDED,4.30956,0.006
   6 BARE CU STRANDED,7.53931,0.007
   4 BARE CU STRANDED,12.46078,0.008
   3 BARE CU STRANDED,,
   2 BARE CU STRANDED,19.631,0.01
   1 BARE CU STRANDED,0,0.011
 1/0 BARE CU STRANDED,27.91389,0.014
 2/0 BARE CU STRANDED,34.42129,0.016
 3/0 BARE CU STRANDED,39.69898,0.02
 4/0 BARE CU STRANDED,54.64711,0.022
 250 BARE CU STRANDED,61.59527,0.024
 300 BARE CU STRANDED,69.60264,0.026
 350 BARE CU STRANDED,86.01862,0.032
 400 BARE CU STRANDED,109.92607,0.036
 500 BARE CU STRANDED,122.76887,0.042
cu mtw stranded,,
  16 MTW CU STRANDED,0.21367,0.003
  14 MTW CU STRANDED,0.31448,0.003
  12 MTW CU STRANDED,0.40959,0.004
  10 MTW CU STRANDED,0.63424,0.005
   8 MTW CU STRANDED,1.1235,0.006
cu tffn stranded,,
  18 TFFN CU Wire,0.67006,0.002
  16 TFFN CU Wire,0.93788,0.003
al thhn stranded 90deg,,
6 THHN BLK STR AL WIRE ,0.79938,0.005
4 THHN BLK STR AL WIRE ,0.98749,0.006
3 THHN BLK STR AL WIRE ,,0.009
2 THHN BLK STR AL WIRE ,1.2529,0.007
1 THHN BLK STR AL WIRE ,1.72664,0.008
1/0 THHN BLK STR AL WIR,1.93914,0.009
2/0 THHN BLK STR AL WIR,2.2917,0.01
3/0 THHN BLK STR AL WIR,2.84524,0.011
4/0 THHN BLK STR AL WIR,3.16256,0.012
