level1,level2,level3,assmNum,assmName
,,,1,Electrical Database
,,,3,copper wire
,,,4,cu thhn solid wire
,,,9,cu thhn stranded wire
,,,32,cu xhhw solid wire
,,,37,cu xhhw stranded wire
,,,61,cu use-rhw solid wire
,,,65,cu use-rhw stranded wire
,,,88,cu bare solid wire
,,,97,cu bare stranded wire
,,,113,cu mtw stranded wire
,,,120,cu tffn stranded wire
,,,124,al thhn stranded wire
,,,127,3 AL THHN STRANDED WIRE 85
,,,144,al xhhw stranded wire
,,,162,al use rhh rhw stranded wir
,,,181,5kv 1c cu xlp-pvc non-shiel
,,,196,5kv 1c cu xlp-pvc shield ca
,,,212,5kv 3c cu xlp-pvc non grd s
,,,226,5kv 3c cu xlp-pvc grd shiel
,,,240,15kv 1c cu xlp-pvc shield c
,,,253,15kv 3c cu xlp-pvc no grd s
Branch,EMT,EMT Strap,267,emt d/s strap
Branch,EMT,EMT Strap Concrete,279,emt d/s strap concrete
,,,291,emt d/s beam clamp
,,,303,5' drop emt d/s strap
,,,315,11' drop emt d/s strap
,,,327,emt d/s branch parts
,,,328,emt 1/2 d/s misc
,,,345,emt 3/4 d/s misc
,,,362,emt 1 d/s misc
,,,379,emt d/s feeder parts
,,,380,emt 1 1/4 d/s misc
,,,401,emt 1 1/2 d/s misc
,,,422,emt 2 d/s misc
,,,442,emt 2 1/2 d/s misc
,,,459,emt 3 d/s misc
,,,476,emt 3 1/2 d/s misc
,,,492,emt 4 d/s misc
,,,510,n14 emt d/s strap
,,,519,n12 emt d/s strap
,,,528,n10 emt d/s strap
,,,537,n8 emt d/s strap
,,,544,n6 emt d/s strap
,,,550,n4 emt d/s strap
,,,555,d/s emt feeder w/wire
,,,556,n3 emt d/s strap
,,,562,n2 emt d/s strap
,,,568,n1 emt d/s strap
,,,574,n1/0 emt d/s strap
,,,580,n2/0 emt d/s strap
,,,586,n3/0 emt d/s strap
,,,592,n4/0 emt d/s strap
,,,598,n250 emt d/s strap
,,,604,n300 emt d/s strap
,,,610,n350 emt d/s strap
,,,616,n400 emt d/s strap
,,,622,n500 emt d/s strap
,,,628,n600 emt d/s strap
,,,634,n750 emt d/s strap
,,,642,n14 emt d/s strap concrete
,,,651,n12 emt d/s strap concrete
,,,660,n10 emt d/s strap concrete
,,,669,n8 emt d/s strap concrete
,,,676,n6 emt d/s strap concrete
,,,682,n4 emt d/s strap concrete
,,,687,d/s feeder w/wire
,,,688,n3 emt d/s strap concrete
,,,694,n2 emt d/s strap concrete
,,,700,n1 emt d/s strap concrete
,,,706,n1/0 emt d/s strap concrete
,,,712,n2/0 emt d/s strap concrete
,,,718,n3/0 emt d/s strap concrete
,,,724,n4/0 emt d/s strap concrete
,,,730,n250 emt d/s strap concrete
,,,736,n300 emt d/s strap concrete
,,,742,n350 emt d/s strap concrete
,,,748,n400 emt d/s strap concrete
,,,754,n500 emt d/s strap concrete
,,,760,n600 emt d/s strap concrete
,,,766,n750 emt d/s strap concrete
,,,774,feeder drops w/wire & 9' ma
,,,775,5' drop n3 emt d/s strap 9'
,,,781,5' drop n2 emt d/s strap 9'
,,,787,5' drop n1 emt d/s strap 9'
,,,793,5' drop n1/0 emt d/s strap
,,,799,5' drop n2/0 emt d/s strap
,,,805,5' drop n3/0 emt d/s strap
,,,811,5' drop n4/0 emt d/s strap
,,,817,5' drop n250 emt d/s strap
,,,823,5' drop n300 emt d/s strap
,,,829,5' drop n350 emt d/s strap
,,,835,5' drop n400 emt d/s strap
,,,841,5' drop n500 emt d/s strap
,,,847,5' drop n600 emt d/s strap
,,,853,5' drop n750 emt d/s strap
,,,860,n14 emt d/s beam clamp
,,,869,n12 emt d/s beam clamp
,,,878,n10 emt d/s beam clamp
,,,887,n8 emt d/s beam clamp
,,,894,n6 emt d/s beam clamp
,,,900,n4 emt d/s beam clamp
,,,905,d/s emt feeder beam clamp w
,,,906,n3 emt d/s beam clamp
,,,912,n2 emt d/s beam clamp
,,,918,n1 emt d/s beam clamp
,,,924,n1/0 emt d/s beam clamp
,,,930,n2/0 emt d/s beam clamp
,,,936,n3/0 emt d/s beam clamp
,,,942,n4/0 emt d/s beam clamp
,,,948,n250 emt d/s beam clamp
,,,954,n300 emt d/s beam clamp
,,,960,n350 emt d/s beam clamp
,,,966,n400 emt d/s beam clamp
,,,972,n500 emt d/s beam clamp
,,,978,n600 emt d/s beam clamp
,,,984,n750 emt d/s beam clamp
,,,993,n14 emt d/c beam clamp
,,,1002,n12 emt d/c beam clamp
,,,1011,n10 emt d/c beam clamp
,,,1020,n8 emt d/c beam clamp
,,,1027,n6 emt d/c beam clamp
,,,1033,n4 emt d/c beam clamp
,,,1038,n3 emt d/c beam clamp
,,,1044,n2 emt d/c beam clamp
,,,1050,n1 emt d/c beam clamp
,,,1056,n1/0 emt d/c beam clamp
,,,1062,n2/0 emt d/c beam clamp
,,,1068,n3/0 emt d/c beam clamp
,,,1074,n4/0 emt d/c beam clamp
,,,1080,n250 emt d/c beam clamp
,,,1086,n300 emt d/c beam clamp
,,,1092,n350 emt d/c beam clamp
,,,1098,n400 emt d/c beam clamp
,,,1104,n500 emt d/c beam clamp
,,,1110,n600 emt d/c beam clamp
,,,1116,n750 emt d/c beam clamp
,,,1125,n14 emt s/s beam clamp
,,,1134,n12 emt s/s beam clamp
,,,1143,n10 emt s/s beam clamp
,,,1152,n8 emt s/s beam clamp
,,,1159,n6 emt s/s beam clamp
,,,1165,n4 emt s/s beam clamp
,,,1170,s/s emt feeder beam clamp w
,,,1171,n3 emt s/s beam clamp
,,,1177,n2 emt s/s beam clamp
,,,1183,n1 emt s/s beam clamp
,,,1189,n1/0 emt s/s beam clamp
,,,1195,n2/0 emt s/s beam clamp
,,,1201,n3/0 emt s/s beam clamp
,,,1207,n4/0 emt s/s beam clamp
,,,1213,n250 emt s/s beam clamp
,,,1219,n300 emt s/s beam clamp
,,,1225,n350 emt s/s beam clamp
,,,1231,n400 emt s/s beam clamp
,,,1237,n500 emt s/s beam clamp
,,,1243,n600 emt s/s beam clamp
,,,1249,n750 emt s/s beam clamp
,,,1257,n14 emt s/c beam clamp
,,,1266,n12 emt s/c beam clamp
,,,1275,n10 emt s/c beam clamp
,,,1284,n8 emt s/c beam clamp
,,,1291,n6 emt s/c beam clamp
,,,1297,n4 emt s/c beam clamp
,,,1302,s/c emt feeder beam clamp w
,,,1303,n3 emt s/c beam clamp
,,,1309,n2 emt s/c beam clamp
,,,1315,n1 emt s/c beam clamp
,,,1321,n1/0 emt s/c beam clamp
,,,1327,n2/0 emt s/c beam clamp
,,,1333,n3/0 emt s/c beam clamp
,,,1339,n4/0 emt s/c beam clamp
,,,1345,n250 emt s/c beam clamp
,,,1351,n300 emt s/c beam clamp
,,,1357,n350 emt s/c beam clamp
,,,1363,n400 emt s/c beam clamp
,,,1369,n500 emt s/c beam clamp
,,,1375,n600 emt s/c beam clamp
,,,1381,n750 emt s/c beam clamp
,,,1389,5' drop n14 emt d/s strap
,,,1398,5' drop n12 emt d/s strap
,,,1407,5' drop n10 emt d/s strap
,,,1416,5' drop n8 emt d/s strap
,,,1423,5' drop n6 emt d/s strap
,,,1430,5' drop n4 emt d/s strap
,,,1438,11' drop n14 emt d/s strap
,,,1447,11' drop n12 emt d/s strap
,,,1456,11' drop n10 emt d/s strap
,,,1465,11' drop n8 emt d/s strap
,,,1472,11' drop n6 emt d/s strap
,,,1479,11' drop n4 emt d/s strap
,,,1486,11' drop n2 emt d/s strap
,,,1493,n14 emt d/s/i strap
,,,1502,n12 emt d/s/i strap
,,,1511,n10 emt d/s/i strap
,,,1520,n8 emt d/s/i strap
,,,1527,n6 emt d/s/i strap
,,,1534,n4 emt d/s/i strap
,,,1541,n2 emt d/s/i strap
,,,1556,emt d/c strap
,,,1568,emt d/c strap concrete
,,,1580,emt d/c beam clamp
,,,1593,emt d/c branch parts
,,,1594,emt 1/2 d/c branch parts
,,,1611,emt 3/4 d/c misc
,,,1629,emt 1 d/c misc
,,,1645,emt d/c feeder parts
,,,1646,emt 1 1/4 d/c misc
,,,1667,emt 1 1/2 d/c misc
,,,1689,emt 2 d/c misc
,,,1709,emt 2 1/2 d/c misc
,,,1726,emt 3 d/c misc
,,,1743,emt 3 1/2 d/c misc
,,,1759,emt 4 d/c misc
,,,1777,n14 emt d/c strap
,,,1786,n12 emt d/c strap
,,,1795,n10 emt d/c strap
,,,1804,n8 emt d/c strap
,,,1811,n6 emt d/c strap
,,,1817,n4 emt d/c strap
,,,1822,d/c feeder w/wire
,,,1823,n3 emt d/c strap
,,,1829,n2 emt d/c strap
,,,1835,n1 emt d/c strap
,,,1841,n1/0 emt d/c strap
,,,1847,n2/0 emt d/c strap
,,,1853,n3/0 emt d/c strap
,,,1859,n4/0 emt d/c strap
,,,1865,n250 emt d/c strap
,,,1871,n300 emt d/c strap
,,,1877,n350 emt d/c strap
,,,1883,n400 emt d/c strap
,,,1889,n500 emt d/c strap
,,,1895,n600 emt d/c strap
,,,1901,n750 emt d/c strap
,,,1910,n14 emt d/c strap concrete
,,,1919,n12 emt d/c strap concrete
,,,1928,n10 emt d/c strap concrete
,,,1937,n8 emt d/c strap concrete
,,,1944,n6 emt d/c strap concrete
,,,1950,n4 emt d/c strap concrete
,,,1956,d/c feeder w/wire
,,,1957,n3 emt d/c strap concrete
,,,1963,n2 emt d/c strap concrete
,,,1969,n1 emt d/c strap concrete
,,,1975,n1/0 emt d/c strap concrete
,,,1981,n2/0 emt d/c strap concrete
,,,1987,n3/0 emt d/c strap concrete
,,,1993,n4/0 emt d/c strap concrete
,,,1999,n250 emt d/c strap concrete
,,,2005,n300 emt d/c strap concrete
,,,2011,n350 emt d/c strap concrete
,,,2017,n400 emt d/c strap concrete
,,,2023,n500 emt d/c strap concrete
,,,2029,n600 emt d/c strap concrete
,,,2035,n750 emt d/c strap concrete
,,,2043,feeder drops w/wire & 9' ma
,,,2044,5' drop n3 emt d/c strap 9'
,,,2050,5' drop n2 emt d/c strap 9'
,,,2056,5' drop n1 emt d/c strap 9'
,,,2062,5' drop n1/0 emt d/c strap
,,,2068,5' drop n2/0 emt d/c strap
,,,2074,5' drop n3/0 emt d/c strap
,,,2080,5' drop n4/0 emt d/c strap
,,,2086,5' drop n250 emt d/c strap
,,,2092,5' drop n300 emt d/c strap
,,,2098,5' drop n350 emt d/c strap
,,,2104,5' drop n400 emt d/c strap
,,,2110,5' drop n500 emt d/c strap
,,,2116,5' drop n600 emt d/c strap
,,,2122,5' drop n750 emt d/c strap
,,,2135,n14 emt d/c/i strap
,,,2144,n12 emt d/c/i strap
,,,2153,n10 emt d/c/i strap
,,,2162,n8 emt d/c/i strap
,,,2169,n6 emt d/c/i strap
,,,2176,n4 emt d/c/i strap
,,,2183,n2 emt d/c/i strap
,,,2195,emt s/s strap
,,,2207,emt s/s strap concrete
,,,2219,emt s/s beam clamp
,,,2232,emt s/s branch parts
,,,2233,emt 1/2 s/s branch parts
,,,2250,emt 3/4 s/s misc
,,,2267,emt 1 s/s misc
,,,2283,emt s/s feeder parts
,,,2284,emt 1 1/4 s/s misc
,,,2305,emt 1 1/2 s/s misc
,,,2326,emt 2 s/s misc
,,,2346,emt 2 1/2 s/s misc
,,,2363,emt 3 s/s misc
,,,2380,emt 3 1/2 s/s misc
,,,2396,emt 4 s/s misc
,,,2414,n14 emt s/s strap
,,,2423,n12 emt s/s strap
,,,2432,n10 emt s/s strap
,,,2441,n8 emt s/s strap
,,,2448,n6 emt s/s strap
,,,2454,n4 emt s/s strap
,,,2459,s/s feeder w/wire
,,,2460,n3 emt s/s strap
,,,2466,n2 emt s/s strap
,,,2472,n1 emt s/s strap
,,,2478,n1/0 emt s/s strap
,,,2484,n2/0 emt s/s strap
,,,2490,n3/0 emt s/s strap
,,,2496,n4/0 emt s/s strap
,,,2502,n250 emt s/s strap
,,,2508,n300 emt s/s strap
,,,2514,n350 emt s/s strap
,,,2520,n400 emt s/s strap
,,,2526,n500 emt s/s strap
,,,2532,n600 emt s/s strap
,,,2538,n750 emt s/s strap
,,,2547,n14 emt s/s strap concrete
,,,2556,n12 emt s/s strap concrete
,,,2565,n10 emt s/s strap concrete
,,,2574,n8 emt s/s strap concrete
,,,2581,n6 emt s/s strap concrete
,,,2587,n4 emt s/s strap concrete
,,,2592,s/s feeder w/wire
,,,2593,n3 emt s/s strap concrete
,,,2599,n2 emt s/s strap concrete
,,,2605,n1 emt s/s strap concrete
,,,2611,n1/0 emt s/s strap concrete
,,,2617,n2/0 emt s/s strap concrete
,,,2623,n3/0 emt s/s strap concrete
,,,2629,n4/0 emt s/s strap concrete
,,,2635,n250 emt s/s strap concrete
,,,2641,n300 emt s/s strap concrete
,,,2647,n350 emt s/s strap concrete
,,,2653,n400 emt s/s strap concrete
,,,2659,n500 emt s/s strap concrete
,,,2665,n600 emt s/s strap concrete
,,,2671,n750 emt s/s strap concrete
,,,2679,feeder drops w/wire & 9' ma
,,,2680,5' drop n3 emt s/s strap 9'
,,,2686,5' drop n2 emt s/s strap 9'
,,,2692,5' drop n1 emt s/s strap 9'
,,,2698,5' drop n1/0 emt s/s strap
,,,2704,5' drop n2/0 emt s/s strap
,,,2710,5' drop n3/0 emt s/s strap
,,,2716,5' drop n4/0 emt s/s strap
,,,2722,5' drop n250 emt s/s strap
,,,2728,5' drop n300 emt s/s strap
,,,2734,5' drop n350 emt s/s strap
,,,2740,5' drop n400 emt s/s strap
,,,2746,5' drop n500 emt s/s strap
,,,2752,5' drop n600 emt s/s strap
,,,2758,5' drop n750 emt s/s strap
,,,2764,n14 emt s/s/i strap
,,,2773,n12 emt s/s/i strap
,,,2782,n10 emt s/s/i strap
,,,2791,n8 emt s/s/i strap
,,,2798,n6 emt s/s/i strap
,,,2805,n4 emt s/s/i strap
,,,2812,n2 emt s/s/i strap
,,,2819,emt s/c strap
