Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,1,,Electrical Database,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,3,,copper wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,4,,cu thhn solid wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,5,,  14 THHN CU SOLID,,,,$0.58, ,,0.003,, ,$0.59,,, ,,$0.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,5,  14 THHN CU SOLID,,,,1.00,,,0.00,,$576.74,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,6,,  12 THHN CU SOLID,,,,$2.65, ,,0.012,, ,$2.66,,, ,,$3.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,6,  12 THHN CU SOLID,,,,3.00,,,0.00,,$884.86,,,M,4.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,7,,  10 THHN CU SOLID,,,,$1.38, ,,0.005,, ,$1.35,,, ,,$1.52,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,7,  10 THHN CU SOLID,,,,1.00,,,0.00,,"$1,384.45",,,M,5.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,9,,cu thhn stranded wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
