assmNum,assmName,level1,level2,level3,matchType
4,cu thhn solid wire,Wire,Copper,Solid,unique
9,cu thhn stranded wire,Wire,Copper,Stranded,distance
32,cu xhhw solid wire,Wire,Copper,Solid,unique
37,cu xhhw stranded wire,Wire,Copper,Stranded,distance
61,cu use-rhw solid wire,Wire,Copper,Solid,unique
65,cu use-rhw stranded wire,Wire,Copper,Stranded,unique
88,cu bare solid wire,Wire,Copper,Solid,distance
97,cu bare stranded wire,Wire,Copper,Stranded,distance
113,cu mtw stranded wire,Wire,Copper,Stranded,distance
120,cu tffn stranded wire,Wire,Copper,Stranded,distance
124,al thhn stranded wire,Wire,Alum,Stranded,distance
144,al xhhw stranded wire,Wire,Alum,Stranded,distance
162,al use rhh rhw stranded wir,Wire,Alum,Stranded,distance
181,5kv 1c cu xlp-pvc non-shiel,Industrial,Cable,5KV Cable,distance
196,5kv 1c cu xlp-pvc shield ca,Industrial,Cable,5KV Cable,distance
212,5kv 3c cu xlp-pvc non grd s,Industrial,Cable,5KV Cable,unique
226,5kv 3c cu xlp-pvc grd shiel,Industrial,Cable,5KV Cable,unique
240,15kv 1c cu xlp-pvc shield c,Industrial,Cable,15KV Cable,distance
253,15kv 3c cu xlp-pvc no grd s,Industrial,Cable,15KV Cable,unique
267,emt d/s strap,Branch,EMT,"D/S, Strap",distance
279,emt d/s strap concrete,Branch,EMT,"D/S, Strap Concrete",distance
291,emt d/s beam clamp,Branch,EMT,D/S Beam Clamp,distance
303,5' drop emt d/s strap,Branch,EMT Drops,D/S Drops Strap,distance
327,emt d/s branch parts,Branch with Constants,EMT Branch Parts,,distance
379,emt d/s feeder parts,Feeder,EMT Feeder Parts,,distance
510,n14 emt d/s strap,Branch,EMT,"D/S, Strap",unique
519,n12 emt d/s strap,Branch,EMT,"D/S, Strap",unique
528,n10 emt d/s strap,Branch,EMT,"D/S, Strap",unique
537,n8 emt d/s strap,Branch,EMT,"D/S, Strap",unique
544,n6 emt d/s strap,Branch,EMT,"D/S, Strap",unique
550,n4 emt d/s strap,Branch,EMT,"D/S, Strap",unique
556,n3 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
562,n2 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
568,n1 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
574,n1/0 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
580,n2/0 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
586,n3/0 emt d/s strap,Feeder,EMT,"D/S, Strap",unique
